rank,filename,vx,vy,vz,label,num_points,total_score
0,rank_0_vx_6_vy_-2_vz_1.pcd,6,-2,1,corner_like,275,3.326962
1,rank_1_vx_6_vy_13_vz_0.pcd,6,13,0,volumetric,36,3.243501
2,rank_2_vx_6_vy_2_vz_2.pcd,6,2,2,corner_like,161,3.047913
3,rank_3_vx_6_vy_-3_vz_1.pcd,6,-3,1,corner_like,276,3.022906
4,rank_4_vx_4_vy_-3_vz_-1.pcd,4,-3,-1,volumetric,193,3.022416
5,rank_5_vx_6_vy_1_vz_2.pcd,6,1,2,corner_like,206,2.939250
6,rank_6_vx_-8_vy_-6_vz_8.pcd,-8,-6,8,planar,49,2.881181
7,rank_7_vx_-7_vy_-7_vz_8.pcd,-7,-7,8,planar,62,2.845815
8,rank_8_vx_6_vy_7_vz_0.pcd,6,7,0,planar,83,2.743098
9,rank_9_vx_6_vy_3_vz_2.pcd,6,3,2,corner_like,154,2.734036
10,rank_10_vx_4_vy_-1_vz_-1.pcd,4,-1,-1,corner_like,310,2.719179
11,rank_11_vx_-1_vy_-11_vz_8.pcd,-1,-11,8,planar,31,2.709474
12,rank_12_vx_-8_vy_-7_vz_8.pcd,-8,-7,8,planar,34,2.707915
13,rank_13_vx_6_vy_3_vz_3.pcd,6,3,3,planar,94,2.706901
14,rank_14_vx_-2_vy_-11_vz_8.pcd,-2,-11,8,planar,36,2.696966
15,rank_15_vx_-10_vy_-5_vz_8.pcd,-10,-5,8,planar,44,2.661872
16,rank_16_vx_6_vy_12_vz_-1.pcd,6,12,-1,corner_like,35,2.633465
17,rank_17_vx_6_vy_14_vz_1.pcd,6,14,1,corner_like,26,2.609234
18,rank_18_vx_6_vy_4_vz_1.pcd,6,4,1,planar,212,2.571145
19,rank_19_vx_-5_vy_11_vz_3.pcd,-5,11,3,planar,49,2.508970
20,rank_20_vx_6_vy_1_vz_3.pcd,6,1,3,planar,187,2.471953
21,rank_21_vx_4_vy_-2_vz_-1.pcd,4,-2,-1,volumetric,168,2.471170
22,rank_22_vx_-8_vy_-5_vz_8.pcd,-8,-5,8,planar,57,2.440994
23,rank_23_vx_0_vy_-5_vz_-2.pcd,0,-5,-2,planar,220,2.439827
24,rank_24_vx_1_vy_1_vz_-2.pcd,1,1,-2,planar,1429,2.433068
25,rank_25_vx_2_vy_6_vz_-2.pcd,2,6,-2,planar,64,2.431279
26,rank_26_vx_6_vy_-3_vz_0.pcd,6,-3,0,corner_like,288,2.410392
27,rank_27_vx_2_vy_7_vz_-2.pcd,2,7,-2,linear,44,2.352701
28,rank_28_vx_6_vy_-4_vz_2.pcd,6,-4,2,corner_like,123,2.328060
29,rank_29_vx_-8_vy_-8_vz_8.pcd,-8,-8,8,planar,24,2.315601
